player_id,player,season,age,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,x2p_percent,x3p_percent,ft_percent,x3p_ar,f_tr,usg_percent,orb_percent,drb_percent,ows,dws,obpm,dbpm,all_nba
curryst01,Stephen Curry,2015,26.0,23.8,4.3,7.7,2.0,0.2,0.528,0.443,0.914,0.482,0.251,28.9,2.4,11.4,11.5,4.1,8.2,1.7,1
danietr01,Troy Daniels,2015,23.0,3.7,0.7,0.5,0.1,0.0,0.383,0.364,0.846,0.715,0.079,21.3,2.2,7.2,0.1,0.1,-0.8,-2.4,0
davisan02,Anthony Davis,2015,21.0,24.4,10.2,2.2,1.5,2.9,0.54,0.083,0.805,0.01,0.384,27.8,8.0,24.1,9.9,4.2,6.6,2.3,1
davised01,Ed Davis,2015,25.0,8.3,7.6,1.2,0.6,1.2,0.601,0.0,0.487,0.0,0.403,14.8,13.3,23.1,4.6,1.6,1.4,0.1,0
davisgl01,Glen Davis,2015,29.0,4.0,2.3,0.5,0.6,0.3,0.466,0.0,0.632,0.016,0.373,16.7,5.5,15.4,0.2,1.1,-3.9,0.8,0
dedmode01,Dewayne Dedmon,2015,25.0,3.7,5.0,0.2,0.3,0.8,0.565,0.0,0.531,0.006,0.395,13.0,15.5,24.1,0.7,1.0,-3.3,-0.2,0
dellama01,Matthew Dellavedova,2015,24.0,4.8,1.9,3.0,0.4,0.0,0.307,0.407,0.763,0.544,0.124,12.6,3.1,7.3,1.4,0.5,-2.0,-0.8,0
denglu01,Luol Deng,2015,29.0,14.0,5.2,1.9,0.9,0.3,0.513,0.355,0.761,0.28,0.319,19.5,5.2,13.3,3.7,1.6,1.1,-1.1,0
derozde01,DeMar DeRozan,2015,25.0,20.1,4.6,3.5,1.2,0.2,0.426,0.284,0.832,0.089,0.438,28.4,2.3,12.9,2.6,1.4,0.5,-1.4,0
diawbo01,Boris Diaw,2015,32.0,8.7,4.3,2.9,0.4,0.3,0.512,0.32,0.774,0.267,0.147,18.3,4.5,15.2,1.3,2.3,-0.6,0.2,0
dienggo01,Gorgui Dieng,2015,25.0,9.7,8.3,2.0,1.0,1.7,0.51,0.167,0.783,0.012,0.477,15.0,11.3,20.8,3.4,1.5,-0.1,0.3,0
dorsejo01,Joey Dorsey,2015,31.0,2.7,4.0,0.4,0.6,0.4,0.556,0.0,0.289,0.007,0.572,11.3,13.3,22.7,0.4,1.5,-3.8,0.7,0
dragigo01,Goran Dragić,2015,28.0,16.25,3.55,4.3,1.0,0.2,0.556,0.351,0.76,0.266,0.213,21.65,3.35,8.35,4.25,1.15,1.35,-0.9,0
drumman01,Andre Drummond,2015,21.0,13.8,13.5,0.7,0.9,1.9,0.515,0.0,0.389,0.002,0.38,22.0,18.3,30.1,3.4,4.3,0.6,-0.7,0
dudleja01,Jared Dudley,2015,29.0,7.2,3.1,1.8,1.0,0.2,0.537,0.385,0.716,0.454,0.158,13.5,3.0,11.6,2.0,2.1,-0.5,1.0,0
duncati01,Tim Duncan,2015,38.0,13.9,9.1,3.0,0.8,2.0,0.514,0.286,0.74,0.009,0.38,22.2,8.8,26.7,4.9,4.7,2.3,2.8,1
dunlemi02,Mike Dunleavy,2015,34.0,9.4,3.9,1.8,0.6,0.3,0.468,0.407,0.805,0.547,0.181,14.2,1.7,12.7,2.4,1.7,-0.3,0.2,0
ellinwa01,Wayne Ellington,2015,27.0,10.0,3.2,1.6,0.5,0.0,0.439,0.37,0.813,0.394,0.104,18.5,2.0,12.3,1.1,0.1,-0.5,-1.8,0
ellismo01,Monta Ellis,2015,29.0,18.9,2.4,4.1,1.9,0.3,0.487,0.285,0.752,0.21,0.224,27.9,1.4,6.4,1.4,2.2,0.0,-0.1,0
ennisja01,James Ennis III,2015,24.0,5.0,2.8,0.8,0.4,0.3,0.461,0.326,0.84,0.385,0.381,14.6,6.0,14.0,1.2,0.8,-1.0,-0.5,0
evansre01,Reggie Evans,2015,34.0,3.7,6.4,0.7,0.5,0.1,0.43,0.0,0.619,0.015,0.708,13.0,14.9,29.0,0.4,0.8,-1.6,-0.8,0
evansty01,Tyreke Evans,2015,25.0,16.6,5.3,6.6,1.3,0.5,0.482,0.304,0.694,0.195,0.25,26.1,3.5,14.1,2.4,2.2,1.4,-0.2,0
exumda01,Dante Exum,2015,19.0,4.8,1.6,2.4,0.5,0.2,0.408,0.314,0.625,0.635,0.077,13.8,1.7,6.6,-1.1,1.0,-3.6,-0.7,0
ezelife01,Festus Ezeli,2015,25.0,4.4,3.4,0.2,0.2,0.9,0.547,0.0,0.628,0.0,0.561,17.7,13.3,19.7,0.8,0.9,-2.2,0.3,0
farieke01,Kenneth Faried,2015,25.0,12.6,8.9,1.2,0.8,0.8,0.511,0.125,0.691,0.011,0.391,20.3,12.1,22.9,3.5,2.1,0.6,-0.7,0
favorde01,Derrick Favors,2015,23.0,16.0,8.2,1.5,0.8,1.7,0.527,0.167,0.669,0.007,0.362,23.8,10.0,20.7,5.0,3.3,1.9,0.6,0
fournev01,Evan Fournier,2015,22.0,12.0,2.6,2.1,0.7,0.0,0.48,0.378,0.728,0.391,0.256,19.7,1.9,8.7,1.5,0.6,-0.5,-1.3,0
foyera01,Randy Foye,2015,31.0,8.7,1.7,2.4,0.7,0.2,0.388,0.357,0.818,0.654,0.137,19.3,0.9,7.8,0.6,0.4,-0.3,-0.9,0
fredeji01,Jimmer Fredette,2015,25.0,3.6,0.8,1.2,0.3,0.0,0.458,0.188,0.956,0.289,0.271,19.6,1.8,7.1,0.0,0.2,-3.6,-1.2,0
freeljo01,Joel Freeland,2015,27.0,3.5,4.0,0.3,0.2,0.5,0.49,0.0,0.84,0.0,0.166,13.4,11.0,21.9,0.6,0.9,-3.0,0.4,0
fryech01,Channing Frye,2015,31.0,7.3,3.9,1.3,0.6,0.5,0.39,0.393,0.886,0.71,0.072,14.1,1.6,16.4,0.7,1.4,-1.5,-0.1,0
gallida01,Danilo Gallinari,2015,26.0,12.4,3.7,1.4,0.8,0.3,0.453,0.355,0.895,0.53,0.336,21.5,2.3,14.7,3.0,1.0,2.6,-0.2,0
gallola01,Langston Galloway,2015,23.0,11.8,4.2,3.3,1.2,0.3,0.424,0.352,0.808,0.344,0.153,19.2,2.9,12.5,0.7,0.6,-1.5,-0.9,0
